School Number,School_Name,Community,School_Type,Title1 Pct,Students with Disabilities Pct,Homeless Pct,Economically Disadvantaged Pct,Dropout Rate (Chronic Absentee Pct),Mobility Rate,Distance_Miles,Score_Disabilities,Score_Homeless,Score_Eco,Score_Dropout,Score_Mobility,Score_Distance,Total_Sc,lat,lon
414,Paul Laurence Dunbar High,Oldtown/Middle East,High,*,10,5,70.5,51.7,17.2,0.21228,5.555555556,0,67.15817694,51.88888889,13.55555556,92.00809548,38.24631411,39.29510727 ,-76.59977215 
377,Green Street Academy,Allendale/Irvington/S. Hilton,Middle,>= 95.0,18.6,5,80.4,46.3,13.6,0.68755,15.11111111,0,80.42895442,45.88888889,9.555555556,63.71737254,38.23151115,39.29289061 ,-76.67264120 
212,Garrett Heights Elementary/Middle,Greater Lauraville,Middle,>= 95.0,16.2,5,72.6,47.9,26.2,0.53584,12.44444444,0,69.97319035,47.66666667,23.55555556,72.74799845,38.01660847,39.34874897 ,-76.56918242 
245,Leith Walk Elementary/Middle,Loch Raven,Middle,>= 95.0,11.3,6.6,74.6,30.2,18.6,0.37,7,7.142857143,72.6541555,28,15.11111111,82.61972083,37.69617954,39.36403070 ,-76.59251240 
247,Cross Country Elementary/Middle,Cross-Country/Cheswolde,Middle,>= 95.0,12.4,5,70.1,35.6,19.5,0.23076,8.222222222,0,66.62198391,34,16.11111111,90.90806274,36.94726095,39.36281433 ,-76.68810174 
335,Baltimore International Academy,Cedonia/Frankford,Middle,>= 95.0,5.1,11.9,66.1,25.9,9.6,0.3526,0.111111111,30.80357143,61.26005362,23.22222222,5.111111111,83.65546594,36.87960314,39.33613255 ,-76.54950478 
347,KIPP Harmony Academy,Greater Rosemont,Middle,>= 95.0,12.9,7,76.4,47.8,15.9,0.848,8.777777778,8.928571429,75.06702413,47.55555556,12.11111111,54.16649305,36.3996665,39.30994083 ,-76.67603404 
44,Montebello Elementary/Middle,Northwood,Middle,>= 95.0,12.2,5.3,83.1,47.7,25,1.03099,8,1.339285714,84.04825737,47.44444444,22.22222222,43.27390696,36.3376742,39.32738819 ,-76.58664159 
262,Empowerment Academy,Greater Rosemont,Middle,>= 95.0,11.8,6,76.7,25.5,12.8,0.42321,7.555555556,4.464285714,75.4691689,22.77777778,8.666666667,79.45236465,36.33355962,39.29742270 ,-76.65948180 
220,Morrell Park Elementary/Middle,Morrell Park/Violetville,Middle,>= 95.0,17.4,6.4,67.7,47.8,33.5,0.82761,13.77777778,6.25,63.40482574,47.55555556,31.66666667,55.38021965,36.08601716,39.26394767 ,-76.65097894 
235,Glenmount Elementary/Middle,Hamilton,Middle,>= 95.0,16.5,5.7,70.1,16.3,18.4,0.26419,12.77777778,3.125,66.62198391,12.55555556,14.88888889,88.91812256,35.91821436,39.35150513 ,-76.54294912 
368,Elmer A. Henderson: A Johns Hopkins Partnership,Madison/East End,Middle,>= 95.0,10.8,5,78.3,28.7,7.4,0.40827,6.444444444,0,77.61394102,26.33333333,2.666666667,80.34167684,35.64362567,39.30082049 ,-76.58792999 
374,Vanguard Collegiate Middle,Cedonia/Frankford,Middle,>= 95.0,14.2,5,78.2,39.6,35.7,0.97812,10.22222222,0,77.47989276,38.44444444,34.11111111,46.42102444,35.63312686,39.31850760 ,-76.54630872 
205,Woodhome Elementary/Middle,Hamilton Hills,Middle,>= 95.0,16.4,7.5,71.9,27.9,19.7,0.74491,12.66666667,11.16071429,69.03485255,25.44444444,16.33333333,60.30298521,35.24741489,39.36689475 ,-76.53970974 
348,Baltimore Leadership School for Young Women,Midtown,Middle,>= 95.0,11.5,5,72.4,51.1,13.2,0.67161,7.222222222,0,69.70509383,51.22222222,9.111111111,64.6662103,34.60398278,39.29508288 ,-76.61736683 
382,Baltimore Design School,Midtown,Middle,>= 95.0,14.3,5,70.3,30,5.7,0.42455,10.33333333,0,66.89008043,27.77777778,0.777777778,79.37260038,33.55063239,39.30692548 ,-76.61072597 
327,Patterson Park Public Charter School,Patterson Park North & East,Middle,>= 95.0,15.1,5.6,60.1,21.6,6.2,0.14347,11.22222222,2.678571429,53.21715818,18.44444444,1.333333333,96.10405072,32.47783366,39.29245095 ,-76.57901650 
12,Lakeland Elementary/Middle,Westport/Mount Winans/Lakeland,Middle,>= 95.0,11.9,5,59.5,27.8,24.2,0.34937,7.666666667,0,52.41286863,25.33333333,21.33333333,83.84773356,31.88037719,39.25433984 ,-76.64515114 
243,Armistead Gardens Elementary/Middle,Orchard Ridge/Armistead,Middle,>= 95.0,11.9,5,71.7,32,12.4,0.73526,7.666666667,0,68.76675603,30,8.222222222,60.87740707,31.67885562,39.30412390 ,-76.55448298 
228,John Ruhrah Elementary/Middle,Greektown/Bayview,Middle,>= 95.0,10.6,12.1,53.3,22.9,16.4,0.66669,6.222222222,31.69642857,44.10187668,19.88888889,12.66666667,64.95907616,31.60861631,39.28509860 ,-76.55279658 
241,Fallstaff Elementary/Middle,Glen-Fallstaff,Middle,>= 95.0,7.8,8.5,58.2,32.1,21.3,0.73612,3.111111111,15.625,50.67024129,30.11111111,18.11111111,60.82621507,30.36093703,39.36318906 ,-76.70485117 
27,Commodore John Rodgers Elementary/Middle,Greektown/Bayview,Middle,>= 95.0,10.2,8.3,70.1,34.3,13.4,1.20932,5.777777778,14.73214286,66.62198391,32.55555556,9.333333333,32.65871008,29.84517551,39.28488085 ,-76.53032011 
407,Western High,Greater Roland Park/Poplar Hill,High,*,5,5,65.5,52.4,12.3,0.80608,0,0,60.45576408,52.66666667,8.111111111,56.66180541,29.69098961,39.34485536 ,-76.64082112 
66,Mount Royal Elementary/Middle,Midtown,Middle,>= 95.0,11.7,5,58.4,32,11.8,0.47225,7.444444444,0,50.9383378,30,7.555555556,76.53323016,29.45901342,39.30921618 ,-76.62489243 
236,Hamilton Elementary/Middle,Hamilton Hills,Middle,>= 95.0,11.4,5,56.9,26.4,11.5,0.41163,7.111111111,0,48.92761394,23.77777778,7.222222222,80.14167088,28.77537634,39.35970823 ,-76.55830303 
240,Graceland Park/O'Donnell Heights Elementary/Middle,Greektown/Bayview,Middle,>= 95.0,8.2,7.7,58.8,30,17.9,0.99979,3.555555556,12.05357143,51.47453083,27.77777778,14.33333333,45.13110509,26.97123498,39.28163359 ,-76.54044314 
480,Baltimore City College,The Waverlies,High,*,5,5,47.4,21.7,5.9,0.41335,0,0,36.19302949,18.55555556,1,80.03928688,23.00970596,39.32733967 ,-76.59494876 
76,Francis Scott Key Elementary/Middle,South Baltimore,Middle,>= 95.0,11.5,5,37.3,19.8,5.1,0.38273,7.222222222,0,22.6541555,16.44444444,0.111111111,81.86196018,21.0428329,39.26923909 ,-76.59458137 
203,Maree Garnett Farring Elementary/Middle,Brooklyn/Curtis Bay/Hawkins Point,Middle,>= 95.0,12.6,5,62.5,32.4,19.3,1.75797,8.444444444,0,56.43431635,30.44444444,15.88888889,0,20.43080131,39.23675723 ,-76.60747876 
84,Thomas Johnson Elementary/Middle,South Baltimore,Middle,*,11.5,5,38.7,21.6,8.8,0.60895,7.222222222,0,24.5308311,18.44444444,4.222222222,68.39608322,20.10323137,39.27067205 ,-76.61151232 
233,Roland Park Elementary/Middle,Greater Roland Park/Poplar Hill,Middle,*,8.3,5,30.2,15.4,6.1,0.17971,3.666666667,0,13.13672922,11.55555556,1.222222222,93.94684366,19.38731997,39.35671692 ,-76.63467402 
47,Hampstead Hill Academy,Patterson Park North & East,Middle,*,5,5,38.5,9.7,8,0.43824,0,0,24.26273458,5.222222222,3.333333333,78.55769517,18.70489348,39.28623712 ,-76.57588419 
403,Baltimore Polytechnic Institute,Greater Roland Park/Poplar Hill,High,*,5,5,43.2,18.7,5,0.81566,0,0,30.56300268,15.22222222,0,56.09155034,17.57670544,39.34526470 ,-76.64336672 
55,Hampden Elementary/Middle,Hampden/Remington,Middle,>= 95.0,16.2,NA,40,23.7,11,0.38625,12.44444444,NA,26.27345845,20.77777778,6.666666667,81.65243013,NA,39.33212691 ,-76.62954326 
201,Dickey Hill Elementary/Middle,Dickeyville/Franklintown,Middle,>= 95.0,16.3,NA,72.5,57.3,40.3,0.11967,12.55555556,NA,69.83914209,58.11111111,39.22222222,97.52075955,NA,39.31166140 ,-76.70300590 
221,The Mount Washington School,Mount Washington/Coldspring,Middle,*,9.5,NA,41.9,25.4,9.7,0.4652,5,NA,28.82037534,22.66666667,5.222222222,76.9528855,NA,39.36619251 ,-76.65462528 
226,Violetville Elementary/Middle,Morrell Park/Violetville,Middle,>= 95.0,15.4,NA,72.8,47.4,15.1,0.4346,11.55555556,NA,70.24128686,47.11111111,11.22222222,78.77436828,NA,39.26718107 ,-76.67378760 
232,Thomas Jefferson Elementary/Middle,Beechfield/Ten Hills/West Hills,Middle,>= 95.0,16.7,NA,76.7,39.9,26.2,0.50059,13,NA,75.4691689,38.77777778,23.55555556,74.84627519,NA,39.29497987 ,-76.69919362 
301,William S. Baer School,Greater Mondawmin,Middle,*,95,NA,79.4,72,13.5,0.51324,100,NA,79.08847185,74.44444444,9.444444444,74.09327659,NA,39.31016249 ,-76.65714895 
307,Claremont School,Greektown/Bayview,High,*,95,NA,84.4,40.4,24.3,0.71357,100,NA,85.79088472,39.33333333,21.44444444,62.16851692,NA,39.29188921 ,-76.53637075 
313,Lois T. Murray Elementary/Middle,Greater Govans,Middle,*,95,NA,73.7,47.8,43.3,0.14379,100,NA,71.44772118,47.55555556,42.55555556,96.08500253,NA,39.34239109 ,-76.60465964 
314,Sharp-Leadenhall Elementary/Middle,Clifton-Berea,Middle,*,95,NA,78.3,61.3,66.9,0.71351,100,NA,77.61394102,62.55555556,68.77777778,62.17208846,NA,39.31304635 ,-76.59560072 
321,Midtown Academy,Midtown,Middle,>= 95.0,18.1,NA,67.2,33.3,18.9,0.31895,14.55555556,NA,62.73458445,31.44444444,15.44444444,85.65850174,NA,39.30834803 ,-76.62195923 
322,New Song Academy,Sandtown-Winchester/Harlem Park,Middle,>= 95.0,12.8,NA,77.1,49.1,12.6,0.30483,8.666666667,NA,76.00536193,49,8.444444444,86.49900295,NA,39.30550013 ,-76.64218013 
323,The Crossroads School,NA,Middle,>= 95.0,13.3,NA,66.5,19.8,5,1.3574,9.222222222,NA,61.79624665,16.44444444,0,23.84416203,NA,39.28232988 ,-76.59663648 
325,ConneXions: A Community Based Arts School,Greater Mondawmin,Middle,>= 95.0,30,NA,83.3,53.1,23.9,0.38858,27.77777778,NA,84.31635389,53.44444444,21,81.51373553,NA,39.32162466 ,-76.66518008 
326,City Neighbors Charter School,Cedonia/Frankford,Middle,>= 95.0,19.9,NA,47.1,18.5,8.9,1.25835,16.55555556,NA,35.79088472,15,4.333333333,29.74017084,NA,39.34914510 ,-76.53485488 
336,Baltimore Montessori Public Charter School,Midtown,Middle,>= 95.0,12.9,NA,47,20.4,8,0.38169,8.777777778,NA,35.65683646,17.11111111,3.333333333,81.92386678,NA,39.30791530 ,-76.61228767 
345,Joseph C. Briscoe Academy,Upton/Druid Heights,Middle,*,95,NA,95,88.5,95,0.45555,100,NA,100,92.77777778,100,77.52730736,NA,39.29849372 ,-76.62432050 
346,City Neighbors Hamilton,Hamilton,Middle,*,23.6,NA,33.7,14.3,5,0.41393,20.66666667,NA,17.82841823,10.33333333,0,80.00476205,NA,39.35047143 ,-76.55549520 
362,Bard High School Early College,Greater Mondawmin,High,*,NA,5,58.9,60.4,10.2,0.38858,NA,0,51.60857909,61.55555556,5.777777778,81.51373553,NA,39.32162466 ,-76.66518008 
371,Lillie May Carroll Jackson School,Clifton-Berea,Middle,>= 95.0,18.5,NA,77.9,20.5,34,0.33241,15,NA,77.07774799,17.22222222,32.22222222,84.85728742,NA,39.31431324 ,-76.58221350 
373,Tunbridge Public Charter School,North Baltimore/Guilford/Homeland,Middle,*,16.8,NA,37.2,21.9,5,0.54292,13.11111111,NA,22.52010724,18.77777778,0,72.32655734,NA,39.35749940 ,-76.61005191 
376,City Neighbors High,Hamilton,High,*,29.5,NA,63.5,38.5,10.8,0.41393,27.22222222,NA,57.77479893,37.22222222,6.444444444,80.00476205,NA,39.35047143 ,-76.55549520 
385,Baltimore International Academy West,Edmondson Village,Middle,>= 95.0,11.5,NA,71.8,42.6,20.4,0.47647,7.222222222,NA,68.90080429,41.77777778,17.11111111,76.2820322,NA,39.29804566 ,-76.69184726 
386,Clay Hill Public Charter School,Greektown/Bayview,Middle,>= 95.0,13.8,NA,62.7,17.9,11.3,0.65295,9.777777778,NA,56.70241287,14.33333333,7,65.77695765,NA,39.29051946 ,-76.53817232 
415,Baltimore School for the Arts,Midtown,High,*,5,NA,20.4,17.6,5,0.48371,0,NA,0,14,0,75.851067,NA,39.29782071 ,-76.61722547 
430,Augusta Fells Savage Institute of Visual Arts,Sandtown-Winchester/Harlem Park,High,>= 95.0,32.6,NA,89.5,81.9,94.6,0.31623,30.66666667,NA,92.62734584,85.44444444,99.55555556,85.82041132,NA,39.29661179 ,-76.64291408 
884,Eager Street Academy,NA,Middle,*,29.6,NA,48.1,5,95,0.11901,27.33333333,NA,37.13136729,0,100,97.56004643,NA,39.30039979 ,-76.60707395 
